"KrillID","slope","rsq","SensorName","TrialID","MOATS","Treatment","LoadingLocation","VialNum","TelsonLength","WetWeight","CorrSlope"
"Trial03_KRLr3_47",-0.00323111377878034,0.00797477557996501,"KRLr3_47             ","Trial03","7","CUR","D5",9,"3.03","0.0396",0.00172384779272352
"Trial03_KRLr3_48",-0.00861608915482528,0.0627740421683992,"KRLr3_48             ","Trial03","13","CHG","F1",10,"2.81","0.0317",-0.00366112758332142
"Trial03_KRLr3_49",-0.00971585389444633,0.0644535933073817,"KRLr3_49             ","Trial03","1","TMP","G2",11,"2.95","0.0425",-0.00476089232294247
"Trial03_KRLr3_50",-0.00380946763421528,0.00656607187342749,"KRLr3_50             ","Trial03","1","TMP","G4",12,"2.66","0.0538",0.00114549393728859
"Trial03_KRLr3_51",-0.0058359052730369,0.014356101462486,"KRLr3_51             ","Trial03","7","CUR","H1",13,"2.94","0.0305",-0.000880943701533035
"Trial03_KRLr3_53",-0.00180806140776058,0.00180790305390108,"KRLr3_53             ","Trial03","13","CHG","H5",15,"2.75","0.021",0.00314690016374328
"Trial03_KRLr3_54",-0.00940674521521053,0.0412542289198003,"KRLr3_54             ","Trial03","1","TMP","I4",16,"2.61","0.0222",-0.00445178364370667
"Trial03_KRLr3_55",-0.0108909691727741,0.0678755515560237,"KRLr3_55             ","Trial03","1","TMP","J1",17,"3.24","0.0405",-0.0059360076012702
"Trial03_KRLr3_56",-0.0126025023207433,0.0860095854286238,"KRLr3_56             ","Trial03","13","CHG","J3",18,"2","0.0202",-0.00764754074923947
"Trial03_KRLr3_57",-0.0136974010542123,0.0965290266765588,"KRLr3_57             ","Trial03","7","CUR","J5",19,"3.16","0.045",-0.00874243948270848
"Trial04_KRLr4_58",-0.0127883418406724,0.0747958014535406,"KRLr4_58             ","Trial04","10","CUR","A2",1,"2.59","0.0248",0.00680277932292493
"Trial04_KRLr4_62",-0.0184122825862266,0.163730419823678,"KRLr4_62             ","Trial04","10","CUR","C2",5,"2.5","0.0174",0.00117883857737076
"Trial04_KRLr4_65",-0.0175324791623298,0.156709356394203,"KRLr4_65             ","Trial04","5","CUR","D5",8,"2.83","0.032",0.00205864200126753
"Trial04_KRLr4_67",-0.0190674118338561,0.160172775020193,"KRLr4_67             ","Trial04","10","CUR","F5",10,"3.29","0.0602",0.000523709329741277
"Trial04_KRLr4_70",-0.00822317099961785,0.0383229458480696,"KRLr4_70             ","Trial04","10","CHG","H1",13,"3.02","0.0315",0.0113679501639795
"Trial04_KRLr4_71",0.000253548988955231,4.12463198948338e-05,"KRLr4_71             ","Trial04","5","CUR","H3",14,"2.41","0.0179",0.0198446701525526
"Trial04_KRLr4_75",0.00967159604124596,0.0709417706587871,"KRLr4_75             ","Trial04","10","CUR","J1",18,"2.62","0.0271",0.0292627172048433
"Trial04_KRLr4_76",0.00638475152295036,0.0272090466016124,"KRLr4_76             ","Trial04","10","CUR","J3",19,"2.64","0.0246",0.0259758726865477
